audit_name,path,date_if_available,commit_if_available,scope,status,PASS_FAIL,main_conclusion,superseded_by,still_valid,evidence
OBJECTIVE_SCALE_PREFLIGHT,reports/ecir_mvr/sixs_objective_read_only_audit/FINAL_STATUS.json,2026-08-31T17:08:30+08:00,UNKNOWN,belief/post gradient preflight,COMPLETE_READ_ONLY,PASS_WITH_SUPERSEDED_INTERPRETATION,"reported alpha_grad approximately 2.255e12",OBJECTIVE_MODULE_FORENSIC,NO_FOR_ALPHA_RECOMMENDATION,"FINAL_STATUS.json"
OBJECTIVE_MODULE_FORENSIC,reports/ecir_mvr/sixs_objective_module_gradient_forensic_audit/FINAL_STATUS.json,2026-08-31T18:19:42+08:00,UNKNOWN,module-specific autograd routing,COMPLETE_READ_ONLY,PASS,"invalidated global alpha_grad as a training coefficient; belief/post mostly update specialized disjoint modules",NONE,YES,"FINAL_STATUS.json"
MULTISEED_REPLICATION,reports/ecir_mvr/sixs_final_restricted_vs_unrestricted_multiseed/RUN_STATUS.json,2026-08-31,UNKNOWN,matched seeds 307/331/353,INCOMPLETE,RUNNING,"snapshot: restricted seed331 training; no multiseed scientific conclusion available",NONE,NO_AS_COMPLETED_EVIDENCE,"single process/status snapshot"
SIGMA_V2_TEACHER_STUDENT,reports/ecir_mvr/sixs_sigma_v2_seed307/FINAL_STATUS.json,2026-08-28,UNKNOWN,legacy teacher/student sigma route,STOPPED_ENGINEERING_FAILURE,FAIL_ENGINEERING_ONLY,"no completed teacher/student scientific evaluation",DIRECT_J1_R1,NO_CURRENT_PIPELINE,"historical status/traceback; not a scientific failure"
MUSIGMA_CPU_RESOURCE_AUDIT,reports/ecir_mvr/sixs_musigma_reliability_factorial_cuda/EVALUATION_RESOURCE_AUDIT.md,2026-08-29,UNKNOWN,training/evaluation resource ownership,COMPLETE,PASS,"post-SDF V3D/PoseBusters/table work is CPU-only; model training/inference used CUDA",NONE,YES,"EVALUATION_RESOURCE_AUDIT.md"
LSGO_MECHANISM_LEGACY,reports/ecir_mvr/lsgo_mechanism/FINAL_SUMMARY.md,UNKNOWN,UNKNOWN,legacy LSGO mechanism development,COMPLETE,UNKNOWN,"historical mechanism evidence; not current J1-R1 full-joint executable path",CURRENT_FULL_JOINT,NO_CURRENT_PIPELINE,"directory/file inventory"
LEARNED_GEOMETRY_LEGACY,reports/ecir_mvr/learned_geometry/FINAL_SUMMARY.md,UNKNOWN,UNKNOWN,legacy learned geometry experiments,COMPLETE,UNKNOWN,"historical predecessor; backbone code remains inherited but result is not current endpoint",CURRENT_FULL_JOINT,PARTIAL_CODE_PROVENANCE_ONLY,"directory/file inventory"
BAT_REFINEMENT_LEGACY,reports/ecir_mvr/bat_refinement/FINAL_SUMMARY.md,UNKNOWN,UNKNOWN,legacy BAT/torsion branch,COMPLETE,UNKNOWN,"not invoked by current full-joint runner",CURRENT_FULL_JOINT,NO_CURRENT_PIPELINE,"directory/file inventory"
MCVR_LEGACY,reports/ecir_mvr/MCVR_STAGE_G_H0_DEPENDENCY_AUDIT.md,UNKNOWN,UNKNOWN,legacy MCVR/formal dependency audits,COMPLETE,UNKNOWN,"not invoked by current paper-path runners",CURRENT_FULL_JOINT,NO_CURRENT_PIPELINE,"directory/file inventory"
FORMAL_PROTECTED_LEGACY,reports/ecir_mvr/lsgo_formal/FINAL_FORMAL_STATUS.json,UNKNOWN,UNKNOWN,legacy protected/formal path,NOT_OPENED,NOT_EVALUATED,"excluded from this audit by protected-outcome rule",NONE,UNKNOWN,"filename inventory only"


